Pharmaceutical Society of Ireland,,,,,,,,,
This data is correct at: 01.07.2022,,,,,,,,,
Registration Number,Trading Name,Street 1,Street 2,Street 3,Town,County,RPB Owner,Eircode,Address 1
10000612,Clarke's Pharmacy,Ground Floor,3 Kilcolgan Business Centre,,Kilcolgan,Co. Galway,Kaislex Limited,H91 FW50,"Ground Floor
3 Kilcolgan Business Centre
Kilcolgan, Co. Galway H91 FW50"
10000616,Dargle Valley Pharmacy,Unit 15 Eagan Business Centre,Upper Dargle Road,,Bray,Co. Wicklow,Fitzmaurice's Medical Hall Ltd,A98E367,"Unit 15 Eagan Business Centre
Upper Dargle Road
Bray, Co. Wicklow A98E367"
10000617,Johnston's Pharmacy,Main Street,,,Ballygar,Co. Galway,Rathcline Health Limited,F42FD79,"Main Street
Ballygar, Co. Galway F42FD79"
10000620,Gaynor's Allcare Pharmacy,Unit 2,69 Main Street,Lough Common,Lusk,Co. Dublin,Hicktron Ltd,K45 WK25,"Unit 2
69 Main Street
Lough Common
Lusk, Co. Dublin K45 WK25"
10000637,Coghlans CarePlus,99 Main Street,,,Carrick-on-Suir,Tipperary,Apothecare DAC,,"99 Main Street
Carrick-on-Suir, Tipperary"
10000654,Morans Pharmacy,Unit 2,Shruffaun House,Newline,Castlebar,Mayo,Cnocthiar Ltd,F23 AY22,"Unit 2
Shruffaun House
Newline
Castlebar, Mayo F23 AY22"
10000658,Thomond Pharmacy,76 Sexton Street North,Thomondgate,,Limerick,Limerick,K.M.H. Pharmacy Limited,V94 HN6E,"76 Sexton Street North
Thomondgate
Limerick, Limerick V94 HN6E"
10000663,Ballygar Pharmacy,Unit 2,High Street,,Ballygar,Galway,Abbeypark Capital Limited,F42DE09,"Unit 2
High Street
Ballygar, Galway F42DE09"
10000665,Blakes Pharmacy,Oak Grove,Allenwood,,,Kildare,Allenwood Pharmacy Ltd,W91N998,"Oak Grove
Allenwood
Kildare W91N998"
10000666,Healthwest Community Pharmacy,Upper Main Street,Ballyhaunis,,,Mayo,HWCPN Ltd,F35C563,"Upper Main Street
Ballyhaunis
Mayo F35C563"
10000679,Kirwans Pharmacy,Main Street,,,Kilmacthomas,Waterford,Kirwans Pharmacy Ltd,X42HH67,"Main Street
Kilmacthomas, Waterford X42HH67"
10000699,Griffins Pharmacy,79 Oaklawn Estate,,,Leixlip,Kildare,Griffins Pharmacy Limited,W23WV77,"79 Oaklawn Estate
Leixlip, Kildare W23WV77"
10000700,Mercer Pharmacy,39 Lower Stephen Street,,,,Dublin 2,UKI Retail Ltd,D02EP92,"39 Lower Stephen Street
Dublin 2 D02EP92"
10000707,The Village Pharmacy,Church Road,,,Dromahair,Leitrim,Dromohair Village Pharmacy Ltd,F91AH29,"Church Road
Dromahair, Leitrim F91AH29"
10000798,Total Health Rathcoole Pharmacy,Unit 2 Rathcoole shopping centre,Main street,Rathcoole,Rathcoole,Dublin,Acornhill Limited,D24 HH51,"Unit 2 Rathcoole shopping centre
Main street
Rathcoole
Rathcoole, Dublin D24 HH51"
10000805,Hickeys Pharmacy,Ulster Medical Hall,The Diamond,,Clones,Monaghan,Clones Medical Hall Pharmacy Limited,,"Ulster Medical Hall
The Diamond
Clones, Monaghan"
10000806,Reilly's Total Health Pharmacy,1 College Park,Ballinalee Road,,,Longford,Baxters Pharmacy Longford Ltd,,"1 College Park
Ballinalee Road
Longford"
10000809,Garveys Pharmacy,Creggs Road,,,Glenamaddy,Galway,Glenamaddy Pharmacy Limited,,"Creggs Road
Glenamaddy, Galway"
10000810,Marian Pharmacy,Frair's Walk,,,Ballyphehane,Cork,Diarmuid O'Donovan (Pharmacist) LTD,T12 YR26,"Frair's Walk
Ballyphehane, Cork T12 YR26"
